CO2 emission estimates,Year,Series,Value
Albania,1975,Emissions (thousand metric tons of carbon dioxide),4338.334
Albania,1985,Emissions (thousand metric tons of carbon dioxide),6929.926
Albania,1995,Emissions (thousand metric tons of carbon dioxide),1848.549
Albania,2005,Emissions (thousand metric tons of carbon dioxide),3825.184
Albania,2010,Emissions (thousand metric tons of carbon dioxide),3930.295
Albania,2015,Emissions (thousand metric tons of carbon dioxide),3824.801
Albania,2016,Emissions (thousand metric tons of carbon dioxide),3674.183
Albania,2017,Emissions (thousand metric tons of carbon dioxide),4342.011
Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.804
Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.337
Albania,1995,Emissions per capita (metric tons of carbon dioxide),0.58
Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.27
Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.349
Albania,2015,Emissions per capita (metric tons of carbon dioxide),1.328
Albania,2016,Emissions per capita (metric tons of carbon dioxide),1.278
Albania,2017,Emissions per capita (metric tons of carbon dioxide),1.511
Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13552.694
Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42073.253
Algeria,1995,Emissions (thousand metric tons of carbon dioxide),55336.862
Algeria,2005,Emissions (thousand metric tons of carbon dioxide),77474.13
Algeria,2010,Emissions (thousand metric tons of carbon dioxide),95535.489
Algeria,2015,Emissions (thousand metric tons of carbon dioxide),130426.655
Algeria,2016,Emissions (thousand metric tons of carbon dioxide),127640.064
Algeria,2017,Emissions (thousand metric tons of carbon dioxide),130493.653
Algeria,1975,Emissions per capita (metric tons of carbon dioxide),0.811
Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.864
Algeria,1995,Emissions per capita (metric tons of carbon dioxide),1.915
Algeria,2005,Emissions per capita (metric tons of carbon dioxide),2.327
Algeria,2010,Emissions per capita (metric tons of carbon dioxide),2.645
Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.271
Algeria,2016,Emissions per capita (metric tons of carbon dioxide),3.143
Algeria,2017,Emissions per capita (metric tons of carbon dioxide),3.158
Angola,1975,Emissions (thousand metric tons of carbon dioxide),1955.802
Angola,1985,Emissions (thousand metric tons of carbon dioxide),2817.595
Angola,1995,Emissions (thousand metric tons of carbon dioxide),3913.613
Angola,2005,Emissions (thousand metric tons of carbon dioxide),6146.691
Angola,2010,Emissions (thousand metric tons of carbon dioxide),15151.684
Angola,2015,Emissions (thousand metric tons of carbon dioxide),21532.32
Angola,2016,Emissions (thousand metric tons of carbon dioxide),21458.342
Angola,2017,Emissions (thousand metric tons of carbon dioxide),18021.394
Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.255
Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.266
Angola,1995,Emissions per capita (metric tons of carbon dioxide),0.274
Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.314
Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.648
Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.773
Angola,2016,Emissions per capita (metric tons of carbon dioxide),0.745
Angola,2017,Emissions per capita (metric tons of carbon dioxide),0.605
Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85231.756
Argentina,1985,Emissions (thousand metric tons of carbon dioxide),87779.28
Argentina,1995,Emissions (thousand metric tons of carbon dioxide),117327.938
Argentina,2005,Emissions (thousand metric tons of carbon dioxide),149476.04
Argentina,2010,Emissions (thousand metric tons of carbon dioxide),173768.538
Argentina,2015,Emissions (thousand metric tons of carbon dioxide),190384.899
Argentina,2016,Emissions (thousand metric tons of carbon dioxide),190512.04
Argentina,2017,Emissions (thousand metric tons of carbon dioxide),183375.203
Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.27
Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.889
Argentina,1995,Emissions per capita (metric tons of carbon dioxide),3.353
Argentina,2005,Emissions per capita (metric tons of carbon dioxide),3.819
Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.215
Argentina,2015,Emissions per capita (metric tons of carbon dioxide),4.385
Argentina,2016,Emissions per capita (metric tons of carbon dioxide),4.345
Argentina,2017,Emissions per capita (metric tons of carbon dioxide),4.142
Armenia,1995,Emissions (thousand metric tons of carbon dioxide),3368.027
Armenia,2005,Emissions (thousand metric tons of carbon dioxide),4129.845
Armenia,2010,Emissions (thousand metric tons of carbon dioxide),4048.253
Armenia,2015,Emissions (thousand metric tons of carbon dioxide),4702.13
Armenia,2016,Emissions (thousand metric tons of carbon dioxide),4833.071
Armenia,2017,Emissions (thousand metric tons of carbon dioxide),5165.593
Armenia,1995,Emissions per capita (metric tons of carbon dioxide),1.047
Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.385
Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.407
Armenia,2015,Emissions per capita (metric tons of carbon dioxide),1.612
Armenia,2016,Emissions per capita (metric tons of carbon dioxide),1.652
Armenia,2017,Emissions per capita (metric tons of carbon dioxide),1.763
Australia,1975,Emissions (thousand metric tons of carbon dioxide),179467.397
Australia,1985,Emissions (thousand metric tons of carbon dioxide),220128.059
Australia,1995,Emissions (thousand metric tons of carbon dioxide),285324.094
Australia,2005,Emissions (thousand metric tons of carbon dioxide),365515.118
Australia,2010,Emissions (thousand metric tons of carbon dioxide),383618.673
Australia,2015,Emissions (thousand metric tons of carbon dioxide),373846.773
Australia,2016,Emissions (thousand metric tons of carbon dioxide),381878.629
Australia,2017,Emissions (thousand metric tons of carbon dioxide),384583.857
Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.848
Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.943
Australia,1995,Emissions per capita (metric tons of carbon dioxide),15.656
Australia,2005,Emissions per capita (metric tons of carbon dioxide),17.873
Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.412
Australia,2015,Emissions per capita (metric tons of carbon dioxide),15.697
Australia,2016,Emissions per capita (metric tons of carbon dioxide),15.786
Australia,2017,Emissions per capita (metric tons of carbon dioxide),15.632
Austria,1975,Emissions (thousand metric tons of carbon dioxide),49488.796
Austria,1985,Emissions (thousand metric tons of carbon dioxide),52649.019
Austria,1995,Emissions (thousand metric tons of carbon dioxide),59549.049
Austria,2005,Emissions (thousand metric tons of carbon dioxide),74764.026
Austria,2010,Emissions (thousand metric tons of carbon dioxide),68571.165
Austria,2015,Emissions (thousand metric tons of carbon dioxide),62221.17
Austria,2016,Emissions (thousand metric tons of carbon dioxide),62048.731
Austria,2017,Emissions (thousand metric tons of carbon dioxide),64872.394
Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.53
Austria,1985,Emissions per capita (metric tons of carbon dioxide),6.96
Austria,1995,Emissions per capita (metric tons of carbon dioxide),7.492
Austria,2005,Emissions per capita (metric tons of carbon dioxide),9.09
Austria,2010,Emissions per capita (metric tons of carbon dioxide),8.201
Austria,2015,Emissions per capita (metric tons of carbon dioxide),7.21
Austria,2016,Emissions per capita (metric tons of carbon dioxide),7.099
Austria,2017,Emissions per capita (metric tons of carbon dioxide),7.376
Azerbaijan,1995,Emissions (thousand metric tons of carbon dioxide),32372.42
Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),29018.489
Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),23532.476
Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),30806.159
Azerbaijan,2016,Emissions (thousand metric tons of carbon dioxide),31409.359
Azerbaijan,2017,Emissions (thousand metric tons of carbon dioxide),30805.851
Azerbaijan,1995,Emissions per capita (metric tons of carbon dioxide),4.212
Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),3.458
Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),2.599
Azerbaijan,2015,Emissions per capita (metric tons of carbon dioxide),3.193
Azerbaijan,2016,Emissions per capita (metric tons of carbon dioxide),3.219
Azerbaijan,2017,Emissions per capita (metric tons of carbon dioxide),3.124
Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5229.829
Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9099.749
Bahrain,1995,Emissions (thousand metric tons of carbon dioxide),13457.588
Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),20564.912
Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),25551.566
Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),30072.802
Bahrain,2016,Emissions (thousand metric tons of carbon dioxide),29638.922
Bahrain,2017,Emissions (thousand metric tons of carbon dioxide),29813.834
Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.587
